ID;Cim;Ajanlatkérõ;Nyertes;Ár;Konzorciumi tagokra számolt ár;CRI;URL
764;Három ajánlattevõ közvetlen meghívásával induló eljárás eredményérõl szóló tájékoztató a Módszertani Gyermekvédelmi Szakszolgálat felújítására vonatkozóan.;Budapest Fõváros Önkormányzatának Módszertani Gyermekvédelmi Szakszolgálata;KOLLARIK SZOLGÁLTATO KFT;7513331;7513331;-1;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_12981_2011
765;Terézváros újság nyomtatási feladatainak ellátása;Budapest Fõváros VI. Kerület Terézváros Önkormányzata;Magyar Közlöny Lap- és Könyvkiadó Korlátolt Felelõsségû Társaság;11870250;11870250;0.10;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13108_2011
766;Épülettakarítási szolgáltatás beszerzése - 1222 Budapest, Nagytétényi u 15. - eredmény;Budapest Fõváros Kormányhivatala;CARPET - CLEANER Kereskedelmi és Szolgáltató Korlátolt Felelõsségû Társaság;103000;103000;0.05;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13187_2011
831;folyószámlahitel - szerzõdés megkötése.;Budapest Fõváros XIX. Kerület Kispest Önkormányzat;OTP Bank Nyrt. (Képv.: Dél-dunántúli Igazgatósága);20500000;20500000;0.54;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_15728_2011
832;használt, sérülésmentes, vezetett szervizkönyvvel rendelkezõ személygépkocsi beszerzése;Budapest Fõváros XIX. Kerület Kispest Önkormányzat;Mentes és Társai Autószalon Korlátolt Felelõsségû Társaság;14224009;14224009;0.35;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_15731_2011
836;"Budapest Fõváros XIV. Kerület Zugló Önkormányzatának tulajdonában lévõ térfigyelõ kamerák, a hozzá tartozó tárgyi eszközök és a térfigyelõ rendszer mûködéséhez szükséges adatátviteli rendszer karbantartása és technikai;Budapest Fõváros XIV. Kerület Zugló Önkormányzata;ERANDO Biztonságtechnikai Tanácsadó és Kereskedelmi Kft.;10650000;10650000;0.18;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_15768_2011
838;Táj.elj.er.-"Bambi Bölcsõde bõvítése és átalakítása";Budapest XVIII. Kerület Pestszentlõrinc-Pestszentimre Önkormányzata;LÕRINCI ÉPÍTÕ ÉS FÕVÁLLALKOZÓ Korlátolt Felelõsségû Társaság;69532737;69532737;0.36;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_15776_2011
889;Budapest Fõváros Önkormányzata Fõpolgármesteri Hivatal dolgozói részére étkezési utalvány és iskolakezdési támogatást biztosító utalványok beszerzése;Budapest Fõváros Önkormányzata;LE CHÉQUE DÉJEUNER ÉTKEZÉSI UTALVÁNY GYÁRTO ÉS FORGALMAZO KFT;33000000;33000000;0.19;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_15483_2011
890;Budapest Fõváros Önkormányzata Fõpolgármesteri Hivatal dolgozói részére étkezési utalvány és iskolakezdési támogatást biztosító utalványok beszerzése;Budapest Fõváros Önkormányzata;LE CHÉQUE DÉJEUNER ÉTKEZÉSI UTALVÁNY GYÁRTO ÉS FORGALMAZO KFT;350000;350000;0.19;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_15483_2011
959;"Budapest XIV. kerületében közfoglalkoztatással (rövid és hosszabb idejû) kapcsolatos szervezési feladatok ellátása megbízási szerzõdés keretében";Budapest Fõváros XIV. Kerület Zugló Önkormányzata;BUDAPEST ESÉLY Nonprofit Korlátolt Felelõsségû Társaság;10220000;10220000;0.20;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_12304_2011
960;"Vállalkozási szerzõdés keretében Budapest Fõváros XIV. Kerület Zugló Önkormányzata tulajdonában, illetve Budapest Fõváros XIV. Kerület Zugló Önkormányzat Polgármesteri Hivatala használatában levõ objektumok õrzés-védelme";Budapest Fõváros XIV. Kerület Zugló Önkormányzata;CORDON-TEAM Vagyonvédelmi Kft.;17500000;17500000;0.14;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_12344_2011
992;"Nyomtatási kellékanyagok beszerzése";Budapest Fõváros Kormányhivatala;BRAVOGROUP RENDSZERHÁZ Kereskedelmi Korlátolt Felelõsségû Társaság;9817015;9817015;0.20;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_15037_2011
997;Budapest XXI. Csepeli gerincút I. ütem (Szabadkikötõ út -- Posztógyár utca között) c. projekt kapcsán elvégzendõ területrendezési feladatok;Budapest Fõváros Önkormányzata;CONSTREAL MÉRNÖKI IRODA KFT;5846550;5846550;0.21;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_15065_2011
1013;Budapest Fõváros XI. Kerület Újbuda Önkormányzata és intézményei épületeinek 6 havi vagyon- és felelõsségbiztosítása;Budapest Fõváros XI.Kerület Újbuda Önkormányzata;SIGNAL Biztosító Zártkörûen mûködõ Részvénytársaság;9568000;9568000;0.28;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_15126_2011
1133;Tájékoztató az eljárás eredményérõl Takarítási szolgáltatás a XIII. Önkormányzat Számítástechnikai Általános Iskolában tárgyában;Budapest Fõváros XIII. Kerületi Önkormányzat Számítástechnikai Általános Iskola;Szabó és Társa Takarító és egyéb Szolgáltató Közkereseti Társaság;4921000;4921000;-1;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_14732_2011
1164;eljárás eredményérõl szóló tájékoztató - közétkeztetés biztosítása 1.;Budapest XVIII. Kerület Pestszentlõrinc-Pestszentimre Önkormányzata;TONETT-S VENDÉGLÁTO ÉS KERESKEDELMI BT;13869450;13869450;0.09;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_14912_2011
1165;Földgáz szabadpiaci vétele;Belváros -Lipótváros Budapest Fõváros V. Ker. Önkormányzata;Fõvárosi Gázmûvek Zártkörûen Mûködõ Részvénytársaság;0;0;0.14;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_14914_2011
1166;Tájékozató azeljárás eredményérõl - közétkeztetés biztosítása 2.;Budapest XVIII. Kerület Pestszentlõrinc-Pestszentimre Önkormányzata;ELAMEN Kereskedelmi és Vendéglátó Zártkörûen Mûködõ Részvénytársaság;125348195;125348195;0.16;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_14915_2011
1167;Tájékozató azeljárás eredményérõl - közétkeztetés biztosítása 2.;Budapest XVIII. Kerület Pestszentlõrinc-Pestszentimre Önkormányzata;ELAMEN Kereskedelmi és Vendéglátó Zártkörûen Mûködõ Részvénytársaság;131102225;131102225;0.16;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_14915_2011
1169;Villamos energia beszerzés a Belváros-Lipótváros Budapest Fõváros V. kerület Önkormányzat Polgármesteri Hivatala valamint intézményei részére;Belváros -Lipótváros Budapest Fõváros V. Ker. Önkormányzata;MVM Partner Energiakereskedelmi ZRt.;0;0;-1;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_14918_2011
1174;JVÖ-Felújítás,karbantartás - tájékoztató az eljárás eredményérõl;Budapest Fõváros VIII. Kerület Józsefvárosi Önkormányzat;Építõ-és épületkarbantartó Zártkörûen Mûködõ Részvénytársaság;364000000;364000000;0.40;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_14927_2011
1175;Vállalkozási szerzõdés keretében a Cseperedõ Óvoda (Budapest XIV. ker. Lengyel u. 21.) felújítás keretében a tetõ szigetelése.;Budapest Fõváros XIV. Kerület Zugló Önkormányzata;PRÍM ÉPÍTÕ Építõipari Korlátolt Felelõsségû Társaság;12835768;12835768;0.18;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_14928_2011
1178;JVÖ-Mélyépítés keret-negyedéves tájékoztató;Budapest Fõváros VIII. Kerület Józsefvárosi Önkormányzat;HODMEZÖVÁSÁRHELYI UTÉPITÖ KFT /HODUT KFT/;31752000;31752000;0.29;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_8885_2011
1179;JVÖ-Mélyépítés keret-negyedéves tájékoztató;Budapest Fõváros VIII. Kerület Józsefvárosi Önkormányzat;HODMEZÖVÁSÁRHELYI UTÉPITÖ KFT /HODUT KFT/;19200000;19200000;0.29;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_8885_2011
1180;JVÖ-Mélyépítés keret-negyedéves tájékoztató;Budapest Fõváros VIII. Kerület Józsefvárosi Önkormányzat;HODMEZÖVÁSÁRHELYI UTÉPITÖ KFT /HODUT KFT/;2000000;2000000;0.28;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_8885_2011
1181;XI. kerületi útvonalakon közvilágítási oszlopokra muskátli kiültetések kihelyezése, folyamatos gondozása;Budapest Fõváros XI.Kerület Újbuda Önkormányzata;FÖKERT PARKFENNTARTO-KERTÉSZETI ÉS SZOLGÁLTATO KFT;0;0;0.18;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_9080_2011
1193;XIII. kerületi polgármesteri hivatal új épületének belsõ tisztasági festése-tájékoztatás az eljárás eredményérõl;Budapest Fõváros XIII. Kerületi Polgármesteri Hivatal;BAUHOLZ - KOMFORT Építõipari Fõvállalkozási Kft.;6703904;6703904;-1;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13904_2011
1258;Budapest Fõváros II. kerültében található 167 db parkoló automatát magába foglaló rendszer programozási, beüzemelési, chipkártya rendszer kiépítési és távfelügyeleti szoftver telepítési munkái.(táj);Budapest Fõváros Ii. Kerületi Önkormányzat;Siemens termelõ, szolgáltató és kereskedelmi zártkörüen mûködõ részvénytársaság;41084905;41084905;0.54;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_14606_2011
1276;Práter Ének-zene Tagozatos Általános Iskola bõvítése, átalakítása - tájékoztató az eljárás eredményérõl;Budapest Fõváros VIII. Kerület Józsefvárosi Önkormányzat;Építõ-és épületkarbantartó Zártkörûen Mûködõ Részvénytársaság;79500000;79500000;0.41;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_14671_2011
1373;Budapest XVI. kerület, Felsõmalom u. 5-7. szám alatti ingatlanon épülõ bölcsõdébe bútorok beszerzése (2);Budapest Fõváros XVI.Kerület Önkormányzat;HOR Kereskedelmi és Szolgáltató Zártkörû Részvénytársaság;5677504;5677504;0.18;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_14384_2011
1374;Budapest XVI. kerület, Felsõmalom u. 5-7. szám alatti ingatlanon épülõ bölcsõdébe bútorok beszerzése (2);Budapest Fõváros XVI.Kerület Önkormányzat;HOR Kereskedelmi és Szolgáltató Zártkörû Részvénytársaság;3440272;3440272;0.18;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_14384_2011
1421;Budapest Fõváros Levéltára épületének biztonsági õrzése a dokumentációban részletezettek szerint.;Budapest Fõváros Levéltára;HUNÉP-UNISZOL Szolgáltató és Építõipari Zártkörûen Mûködõ Részvénytársaság;23400000;23400000;0.33;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_11219_2011
1425;Budapest XVI. kerületben régi Sashalmi HÉV Állomás épületének felújítási munkái;Budapest Fõváros XVI.Kerület Önkormányzat;Alpinia Építõ Korlátolt Felelõsségû Társaság;1294788;1294788;0.07;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13990_2011
1456;Kapcsolt vonali szolgáltatások 2012. május 4-ig;Budapest Fõváros Önkormányzata;Magyar Telekom Távközlési Nyilvánosan Mûködõ Részvénytársaság;890000;890000;0.06;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_14036_2011
1488;Értelmi Fogyatékosok Napközi Otthonának (ÉNO) bútor és egyéb berendezés valamint eszköz beszerzése a mûszaki dokumentációban részletezettek szerint.(táj);Budapest Fõváros Ii. Kerületi Önkormányzat;D & S GENERAL FÕVÁLLALKOZÓ, KERESKEDELMI ÉS SZOLGÁLTATÓ BETÉTI TÁRSASÁG;12792440;12792440;0.14;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_14167_2011
1554;Értelmi Fogyatékosok Napközi Otthonának (ÉNO) megvalósítása során felmerült kiegészítõ munkák kivitelezése.(táj);Budapest Fõváros Ii. Kerületi Önkormányzat;ALOE ÉPÍTÕ Zártkörûen Mûködõ Részvénytársaság;2821397;2821397;0.51;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_12991_2011
1565;"Épülettakarítási szolgáltatás beszerzése - 2600 Vác, Dr. Csányi L. krt. 16";Budapest Fõváros Kormányhivatala;4 Clean Kereskedelmi és Szolgáltató Korlátolt Felelõsségû Társaság;538000;538000;0.12;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13706_2011
1586;Budapest XVI. kerületben épülõ szintetikus borítású atlétikai pályához sportfelszerelések és sportszerek beszerzése;Budapest Fõváros XVI.Kerület Önkormányzat;SPORTREND Kereskedelmi és Szolgáltató Korlátolt Felelõsségû Társaság;22781662;22781662;0.18;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13833_2011
1601;Szent István téri Piac- és vásárcsarnokv takarítása eredmény;Budapest Fõváros IV.Kerület Újpest Önkormányzat Polgármesteri Hivatala;TOP-NET NÍVÓ Szolgáltató Korlátolt Felelõsségû Társaság;14870000;14870000;0.18;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13846_2011
1605;Budapest Fõváros IV. Kerület Újpest Önkormányzata Intézményei számára 5 darab - a dokumentációban részletezett - játszóeszköz szállítása, telepítéssel együtt- eredmény;Budapest Fõváros IV.Kerület Újpest Önkormányzat Polgármesteri Hivatala;Játszókert Építõ, Szolgáltató és Kereskedelmi Korlátolt Felelõsségû Társaság;7087722;7087722;0.18;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13851_2011
1607;Tájékoztató az eljárás eredményérõl. ERISZ "ételkészítési szolgáltatás, idõskorúak szociális étkeztetése IV.;Erzsébetvárosi Integrált Szociális Szolgáltató Központ;Junior Vendéglátó Zártkörûen Mûködõ Részvénytársaság;319387744;319387744;-1;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13853_2011
1649;Budapest XVI. kerületben Sashalmi városközpont rehabilitációjához kapcsolódóan térfigyelõ rendszer kiépítése és üzemeltetése;Budapest Fõváros XVI.Kerület Önkormányzat;ERANDO Biztonságtechnikai Tanácsadó és Kereskedelmi Kft.;7591816;7591816;0.18;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13973_2011
1652;Vadgesztenye aknázó moly elleni védekezése és általános növényvédelem;Budapest Fõváros XI.Kerület Újbuda Önkormányzata;TOXA TERV NÖVÉNYVÉDELMI, KULTURÁLIS ÉS OKTATÁSI BETÉTI TÁRSASÁG;2769200;2769200;0.17;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_7772_2011
1653;Vadgesztenye aknázó moly elleni védekezése és általános növényvédelem;Budapest Fõváros XI.Kerület Újbuda Önkormányzata;SYS '89 Növényvédelmi és Mezõgazdasági Szolgáltató Közkereseti Társaság;9121000;9121000;0.24;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_7772_2011
1654;Vadgesztenye aknázó moly elleni védekezése és általános növényvédelem;Budapest Fõváros XI.Kerület Újbuda Önkormányzata;TOXA TERV NÖVÉNYVÉDELMI, KULTURÁLIS ÉS OKTATÁSI BETÉTI TÁRSASÁG;3309800;3309800;0.24;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_7772_2011
1719;Fakivágási munkák elvégzése.(táj);Budapest Fõváros Ii. Kerületi Önkormányzat;GARDEN-SYSTEM Kertépítõ és Szolgáltató Korlátolt Felelõsségû Társaság;7900000;7900000;0.14;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13487_2011
1720;Kaszálási munkák elvégzése.(táj);Budapest Fõváros Ii. Kerületi Önkormányzat;FERBERT KERESKEDELMI ÉS SZOLGÁLTATO KFT;7900000;7900000;0.14;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13491_2011
1722;Telekrendezési és karbantartási munkák elvégzése.(táj);Budapest Fõváros Ii. Kerületi Önkormányzat;GARDEN-SYSTEM Kertépítõ és Szolgáltató Korlátolt Felelõsségû Társaság;7900000;7900000;0.18;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13494_2011
1724;Kerékpárutak, járdák-lépcsõk javítása, parkolásgátló eszközök pótlása, azonnali beavatkozás közterületeken.(táj);Budapest Fõváros Ii. Kerületi Önkormányzat;GARDEN-SYSTEM Kertépítõ és Szolgáltató Korlátolt Felelõsségû Társaság;27800000;27800000;0.14;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13497_2011
1725;Közlekedési kiskorrekció, közterületi lépcsõk.(táj);Budapest Fõváros Ii. Kerületi Önkormányzat;GARDEN-SYSTEM Kertépítõ és Szolgáltató Korlátolt Felelõsségû Társaság;62000000;62000000;0.15;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13500_2011
1726;Nyomvonal süllyedések garancián túli javítása.(táj);Budapest Fõváros Ii. Kerületi Önkormányzat;AMBÍCIÓ ÉPITÖIPARI, KERESKEDELMI ÉS SZOLGÁLTATO KFT;10400000;10400000;0.14;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13501_2011
1773;Dunabogdányi Gyermeküdülõ és Erdei iskola fõzõkonyhájának üzemeltetése;Budapest Fõváros VI. Kerület Terézváros Önkormányzata;ERNA FOOD VENDÉGLÁTÓ ÉS KERESKEDELMI KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG;34568000;34568000;0.32;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13750_2011
1774;Kertészeti kisjavítások, padok és utcabútorok javítása.(táj);Budapest Fõváros Ii. Kerületi Önkormányzat;Magyar kõris Kertészeti és Szolgáltató Korlátolt Felelõsségû Társaság;13188070;13188070;0.14;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13751_2011
1776;Pesthidegkúti felszíni vízelvezetõrendszer üzemeltetése, vízelvezetés, átereszek tisztítása.(táj);Budapest Fõváros Ii. Kerületi Önkormányzat;HAJDU ÉS TÁRSAI ÉPITÖIPARI ÉS SZOLGÁLTATO KFT;19200000;19200000;0.18;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13755_2011
1777;Pesthidegkúti felszíni vízelvezetõrendszer üzemeltetése, vízelvezetés, átereszek tisztítása.(táj);Budapest Fõváros Ii. Kerületi Önkormányzat;HAJDU ÉS TÁRSAI ÉPITÖIPARI ÉS SZOLGÁLTATO KFT;8000000;8000000;0.18;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13755_2011
1798;3 darab Skoda márkájú új személygépkocsi beszerzése - Tájékoztató az eljárás eredményérõl;Budapest Fõváros XX. Kerület Pesterzsébet Önkormányzata;Porsche-Inter Auto Pest Kereskedelmi Kft.;0;0;0.18;http://kozbeszerzes.hu/adatbazis/mutat/hirdetmeny/portal_13094_2011
